T03,Population growth and indicators of fertility and mortality,,,,,
1,"Total, all countries or areas",2015,"Maternal mortality ratio (deaths per 100,000 population)",227,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
1,"Total, all countries or areas",2015,Life expectancy at birth for both sexes (years),71.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2015,Life expectancy at birth for males (years),69.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2015,Life expectancy at birth for females (years),74.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2020,Population annual rate of increase (percent),0.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2020,"Under five mortality rate for both sexes (per 1,000 live births)",38.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2020,"Maternal mortality ratio (deaths per 100,000 population)",223,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
1,"Total, all countries or areas",2020,Life expectancy at birth for both sexes (years),71.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2020,Life expectancy at birth for males (years),69.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2020,Life expectancy at birth for females (years),74.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2025,Population annual rate of increase (percent),0.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2025,Total fertility rate (children per women),2.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2025,"Under five mortality rate for both sexes (per 1,000 live births)",35.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2025,Life expectancy at birth for both sexes (years),73.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2025,Life expectancy at birth for males (years),70.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2025,Life expectancy at birth for females (years),76.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2010,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
2,Africa,2010,Total fertility rate (children per women),4.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",93.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
2,Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",593,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
2,Africa,2010,Life expectancy at birth for both sexes (years),58.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2010,Life expectancy at birth for males (years),57.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2010,Life expectancy at birth for females (years),60.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2015,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
2,Africa,2015,Total fertility rate (children per women),4.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",81.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
2,Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",526,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
2,Africa,2015,Life expectancy at birth for both sexes (years),60.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2015,Life expectancy at birth for males (years),59.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2015,Life expectancy at birth for females (years),62.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2020,Population annual rate of increase (percent),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
2,Africa,2020,Total fertility rate (children per women),4.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",69.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
2,Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",487,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
2,Africa,2020,Life expectancy at birth for both sexes (years),62.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2020,Life expectancy at birth for males (years),60.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2020,Life expectancy at birth for females (years),64.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2025,Population annual rate of increase (percent),2.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
2,Africa,2025,Total fertility rate (children per women),4.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2025,"Under five mortality rate for both sexes (per 1,000 live births)",61.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
2,Africa,2025,Life expectancy at birth for both sexes (years),64.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2025,Life expectancy at birth for males (years),62.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
2,Africa,2025,Life expectancy at birth for females (years),66.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2010,Population annual rate of increase (percent),1.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
15,Northern Africa,2010,Total fertility rate (children per women),3.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",39.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
15,Northern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",144,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
15,Northern Africa,2010,Life expectancy at birth for both sexes (years),69.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2010,Life expectancy at birth for males (years),67.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2010,Life expectancy at birth for females (years),71.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2015,Population annual rate of increase (percent),2.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
15,Northern Africa,2015,Total fertility rate (children per women),3.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",32.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
15,Northern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",109,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
15,Northern Africa,2015,Life expectancy at birth for both sexes (years),70.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2015,Life expectancy at birth for males (years),68.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2015,Life expectancy at birth for females (years),72.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2020,Population annual rate of increase (percent),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
15,Northern Africa,2020,Total fertility rate (children per women),3.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",28.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
15,Northern Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",103,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
15,Northern Africa,2020,Life expectancy at birth for both sexes (years),70.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2020,Life expectancy at birth for males (years),68.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2020,Life expectancy at birth for females (years),72.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2025,Population annual rate of increase (percent),1.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
15,Northern Africa,2025,Total fertility rate (children per women),2.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2025,"Under five mortality rate for both sexes (per 1,000 live births)",26.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
15,Northern Africa,2025,Life expectancy at birth for both sexes (years),72.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2025,Life expectancy at birth for males (years),70.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
15,Northern Africa,2025,Life expectancy at birth for females (years),74.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2010,Population annual rate of increase (percent),2.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
202,Sub-Saharan Africa,2010,Total fertility rate (children per women),5.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",103.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
202,Sub-Saharan Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",668,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
202,Sub-Saharan Africa,2010,Life expectancy at birth for both sexes (years),56.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2010,Life expectancy at birth for males (years),55.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2010,Life expectancy at birth for females (years),58.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2015,Population annual rate of increase (percent),2.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
202,Sub-Saharan Africa,2015,Total fertility rate (children per women),4.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",89.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
202,Sub-Saharan Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",598,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
202,Sub-Saharan Africa,2015,Life expectancy at birth for both sexes (years),58.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2015,Life expectancy at birth for males (years),57.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2015,Life expectancy at birth for females (years),60.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2020,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
202,Sub-Saharan Africa,2020,Total fertility rate (children per women),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",75.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
202,Sub-Saharan Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",545,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
202,Sub-Saharan Africa,2020,Life expectancy at birth for both sexes (years),60.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2020,Life expectancy at birth for males (years),58.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2020,Life expectancy at birth for females (years),62.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2025,Population annual rate of increase (percent),2.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
202,Sub-Saharan Africa,2025,Total fertility rate (children per women),4.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2025,"Under five mortality rate for both sexes (per 1,000 live births)",66.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
202,Sub-Saharan Africa,2025,Life expectancy at birth for both sexes (years),62.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2025,Life expectancy at birth for males (years),60.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
202,Sub-Saharan Africa,2025,Life expectancy at birth for females (years),64.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2010,Population annual rate of increase (percent),2.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
14,Eastern Africa,2010,Total fertility rate (children per women),5.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",82.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
14,Eastern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",542,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
14,Eastern Africa,2010,Life expectancy at birth for both sexes (years),59.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2010,Life expectancy at birth for males (years),57.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2010,Life expectancy at birth for females (years),60.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2015,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
14,Eastern Africa,2015,Total fertility rate (children per women),4.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",69.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
14,Eastern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",429,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
14,Eastern Africa,2015,Life expectancy at birth for both sexes (years),61.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2015,Life expectancy at birth for males (years),59.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2015,Life expectancy at birth for females (years),63.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2020,Population annual rate of increase (percent),2.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
14,Eastern Africa,2020,Total fertility rate (children per women),4.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",54.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
14,Eastern Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",351,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
14,Eastern Africa,2020,Life expectancy at birth for both sexes (years),64.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2020,Life expectancy at birth for males (years),61.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2020,Life expectancy at birth for females (years),67.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2025,Population annual rate of increase (percent),2.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
14,Eastern Africa,2025,Total fertility rate (children per women),4.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2025,"Under five mortality rate for both sexes (per 1,000 live births)",47.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
14,Eastern Africa,2025,Life expectancy at birth for both sexes (years),66.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
