iso3,m49_code,region_country_area,year,series,value,footnotes,source
ALB,8,Albania,2010,Life expectancy at birth for females (years),81.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2015,Population annual rate of increase (percent),-0.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ALB,8,Albania,2015,Total fertility rate (children per women),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2015,"Under five mortality rate for both sexes (per 1,000 live births)",10.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ALB,8,Albania,2015,"Maternal mortality ratio (deaths per 100,000 population)",7,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
ALB,8,Albania,2015,Life expectancy at birth for both sexes (years),78.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2015,Life expectancy at birth for males (years),76.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2015,Life expectancy at birth for females (years),80.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2020,Population annual rate of increase (percent),-0.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ALB,8,Albania,2020,Total fertility rate (children per women),1.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2020,"Under five mortality rate for both sexes (per 1,000 live births)",9.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ALB,8,Albania,2020,"Maternal mortality ratio (deaths per 100,000 population)",8,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
ALB,8,Albania,2020,Life expectancy at birth for both sexes (years),77.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2020,Life expectancy at birth for males (years),75.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2020,Life expectancy at birth for females (years),80.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2025,Population annual rate of increase (percent),-0.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ALB,8,Albania,2025,Total fertility rate (children per women),1.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2025,"Under five mortality rate for both sexes (per 1,000 live births)",8.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ALB,8,Albania,2025,Life expectancy at birth for both sexes (years),80,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2025,Life expectancy at birth for males (years),78.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2025,Life expectancy at birth for females (years),81.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2010,Population annual rate of increase (percent),2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
DZA,12,Algeria,2010,Total fertility rate (children per women),2.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2010,"Under five mortality rate for both sexes (per 1,000 live births)",28.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
DZA,12,Algeria,2010,"Maternal mortality ratio (deaths per 100,000 population)",112,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
DZA,12,Algeria,2010,Life expectancy at birth for both sexes (years),74.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2010,Life expectancy at birth for males (years),73,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2010,Life expectancy at birth for females (years),75.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2015,Population annual rate of increase (percent),2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
DZA,12,Algeria,2015,Total fertility rate (children per women),3.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2015,"Under five mortality rate for both sexes (per 1,000 live births)",25.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
DZA,12,Algeria,2015,"Maternal mortality ratio (deaths per 100,000 population)",89,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
DZA,12,Algeria,2015,Life expectancy at birth for both sexes (years),75.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2015,Life expectancy at birth for males (years),74,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2015,Life expectancy at birth for females (years),76.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2020,Population annual rate of increase (percent),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
DZA,12,Algeria,2020,Total fertility rate (children per women),2.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2020,"Under five mortality rate for both sexes (per 1,000 live births)",22.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
DZA,12,Algeria,2020,"Maternal mortality ratio (deaths per 100,000 population)",78,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
DZA,12,Algeria,2020,Life expectancy at birth for both sexes (years),73.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2020,Life expectancy at birth for males (years),71.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2020,Life expectancy at birth for females (years),74.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2025,Population annual rate of increase (percent),1.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
DZA,12,Algeria,2025,Total fertility rate (children per women),2.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2025,"Under five mortality rate for both sexes (per 1,000 live births)",19.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
DZA,12,Algeria,2025,Life expectancy at birth for both sexes (years),76.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2025,Life expectancy at birth for males (years),75.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
DZA,12,Algeria,2025,Life expectancy at birth for females (years),78.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2010,Population annual rate of increase (percent),-0.5,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ASM,16,American Samoa,2010,Total fertility rate (children per women),3.3,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",11.1,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ASM,16,American Samoa,2010,Life expectancy at birth for both sexes (years),72.6,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2010,Life expectancy at birth for males (years),70.2,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2010,Life expectancy at birth for females (years),75.2,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2015,Population annual rate of increase (percent),-1.2,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ASM,16,American Samoa,2015,Total fertility rate (children per women),2.8,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",11,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ASM,16,American Samoa,2015,Life expectancy at birth for both sexes (years),72.7,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2015,Life expectancy at birth for males (years),70.3,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2015,Life expectancy at birth for females (years),75.3,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2020,Population annual rate of increase (percent),-0.4,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ASM,16,American Samoa,2020,Total fertility rate (children per women),2.4,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",10.9,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ASM,16,American Samoa,2020,Life expectancy at birth for both sexes (years),72.7,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2020,Life expectancy at birth for males (years),70,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2020,Life expectancy at birth for females (years),75.7,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2025,Population annual rate of increase (percent),-1.6,"For statistical purposes, the data for United States of America do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ASM,16,American Samoa,2025,Total fertility rate (children per women),2.2,"For statistical purposes, the data for United States of America do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2025,"Under five mortality rate for both sexes (per 1,000 live births)",10.2,"For statistical purposes, the data for United States of America do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ASM,16,American Samoa,2025,Life expectancy at birth for both sexes (years),73.1,"For statistical purposes, the data for United States of America do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2025,Life expectancy at birth for males (years),70.4,"For statistical purposes, the data for United States of America do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ASM,16,American Samoa,2025,Life expectancy at birth for females (years),76.1,"For statistical purposes, the data for United States of America do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2010,Population annual rate of increase (percent),-7.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AND,20,Andorra,2010,Total fertility rate (children per women),1.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2010,"Under five mortality rate for both sexes (per 1,000 live births)",5.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AND,20,Andorra,2010,Life expectancy at birth for both sexes (years),84.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2010,Life expectancy at birth for males (years),82.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2010,Life expectancy at birth for females (years),86.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2015,Population annual rate of increase (percent),-2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AND,20,Andorra,2015,Total fertility rate (children per women),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2015,"Under five mortality rate for both sexes (per 1,000 live births)",5.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AND,20,Andorra,2015,Life expectancy at birth for both sexes (years),84.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2015,Life expectancy at birth for males (years),82.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2015,Life expectancy at birth for females (years),86.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2020,Population annual rate of increase (percent),0.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AND,20,Andorra,2020,Total fertility rate (children per women),1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2020,"Under five mortality rate for both sexes (per 1,000 live births)",6.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AND,20,Andorra,2020,Life expectancy at birth for both sexes (years),79.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2020,Life expectancy at birth for males (years),75.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2020,Life expectancy at birth for females (years),83.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2025,Population annual rate of increase (percent),1.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AND,20,Andorra,2025,Total fertility rate (children per women),1.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2025,"Under five mortality rate for both sexes (per 1,000 live births)",5.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AND,20,Andorra,2025,Life expectancy at birth for both sexes (years),84.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AND,20,Andorra,2025,Life expectancy at birth for males (years),82.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
